iter	Passed	Remaining
0	35	10690
1	67	10073
2	102	10186
3	137	10168
4	170	10041
5	204	10014
6	243	10177
7	276	10078
8	310	10032
9	341	9899
10	376	9882
11	408	9797
12	445	9833
13	480	9825
14	517	9840
15	550	9774
16	585	9744
17	619	9703
18	662	9790
19	697	9761
20	732	9730
21	769	9727
22	803	9680
23	840	9660
24	881	9699
25	913	9626
26	945	9560
27	979	9516
28	1013	9472
29	1047	9428
30	1090	9464
31	1125	9424
32	1157	9368
33	1194	9346
34	1227	9291
35	1263	9264
36	1302	9256
37	1338	9228
38	1374	9201
39	1410	9167
40	1445	9128
41	1479	9090
42	1516	9064
43	1551	9027
44	1583	8973
45	1616	8926
46	1651	8891
47	1686	8855
48	1726	8844
49	1762	8814
50	1796	8771
51	1832	8738
52	1864	8689
53	1899	8654
54	1938	8635
55	1969	8581
56	2003	8540
57	2040	8512
58	2071	8463
59	2105	8420
60	2146	8411
61	2179	8365
62	2211	8320
63	2248	8292
64	2280	8245
65	2313	8201
66	2347	8163
67	2381	8124
68	2417	8092
69	2449	8048
70	2486	8019
71	2521	7986
72	2554	7944
73	2591	7913
74	2635	7905
75	2672	7878
76	2705	7835
77	2740	7798
78	2777	7771
79	2810	7728
80	2842	7685
81	2879	7654
82	2914	7620
83	2946	7577
84	2978	7533
85	3012	7496
86	3052	7472
87	3095	7456
88	3129	7419
89	3163	7381
90	3202	7355
91	3242	7330
92	3277	7294
93	3311	7256
94	3346	7220
95	3378	7178
96	3413	7143
97	3447	7105
98	3480	7067
99	3519	7039
100	3553	7002
101	3589	6967
102	3621	6925
103	3659	6897
104	3692	6857
105	3725	6818
106	3764	6789
107	3797	6751
108	3831	6713
109	3864	6675
110	3897	6637
111	3930	6597
112	3967	6565
113	4002	6531
114	4040	6499
115	4073	6460
116	4107	6425
117	4143	6390
118	4181	6360
119	4214	6322
120	4244	6279
121	4279	6244
122	4311	6203
123	4342	6163
124	4380	6133
125	4420	6104
126	4454	6068
127	4491	6035
128	4527	6001
129	4559	5962
130	4598	5932
131	4637	5901
132	4670	5864
133	4704	5827
134	4738	5791
135	4772	5754
136	4807	5719
137	4862	5707
138	4897	5673
139	4932	5637
140	4967	5601
141	5003	5567
142	5038	5531
143	5068	5491
144	5107	5460
145	5141	5423
146	5180	5391
147	5215	5356
148	5250	5320
149	5284	5284
150	5320	5250
151	5359	5218
152	5393	5182
153	5434	5152
154	5468	5115
155	5499	5076
156	5532	5039
157	5574	5010
158	5606	4971
159	5639	4934
160	5672	4897
161	5710	4864
162	5743	4827
163	5781	4794
164	5815	4758
165	5848	4721
166	5882	4684
167	5916	4648
168	5948	4611
169	5990	4581
170	6021	4542
171	6054	4505
172	6180	4537
173	6214	4500
174	6253	4466
175	6291	4432
176	6325	4395
177	6364	4362
178	6399	4325
179	6432	4288
180	6471	4254
181	6507	4219
182	6543	4183
183	6579	4148
184	6613	4111
185	6644	4072
186	6682	4037
187	6715	4000
188	6746	3962
189	6773	3921
190	6805	3883
191	6840	3847
192	6878	3813
193	6913	3777
194	6947	3740
195	6978	3702
196	7012	3666
197	7044	3628
198	7076	3591
199	7115	3557
200	7150	3521
201	7180	3483
202	7214	3447
203	7252	3412
204	7280	3373
205	7313	3337
206	7352	3303
207	7388	3267
208	7423	3232
209	7456	3195
210	7492	3160
211	7527	3124
212	7561	3088
213	7595	3052
214	7629	3016
215	7662	2979
216	7693	2942
217	7725	2906
218	7758	2869
219	7794	2834
220	7831	2799
221	7871	2765
222	7907	2730
223	7941	2694
224	7976	2658
225	8006	2621
226	8040	2585
227	8080	2551
228	8115	2516
229	8149	2480
230	8181	2443
231	8215	2408
232	8248	2371
233	8280	2335
234	8317	2300
235	8350	2264
236	8386	2229
237	8420	2193
238	8456	2158
239	8492	2123
240	8524	2086
241	8561	2052
242	8598	2016
243	8633	1981
244	8667	1945
245	8698	1909
246	8734	1874
247	8773	1839
248	8806	1803
249	8840	1768
250	8871	1731
251	8909	1696
252	8944	1661
253	8979	1626
254	9016	1591
255	9050	1555
256	9086	1520
257	9118	1484
258	9154	1449
259	9186	1413
260	9221	1377
261	9261	1343
262	9293	1307
263	9324	1271
264	9358	1236
265	9393	1200
266	9426	1165
267	9471	1130
268	9506	1095
269	9539	1059
270	9565	1023
271	9598	988
272	9630	952
273	9666	917
274	9700	881
275	9735	846
276	9772	811
277	9803	775
278	9839	740
279	9875	705
280	9909	670
281	9947	634
282	9980	599
283	10013	564
284	10046	528
285	10081	493
286	10115	458
287	10168	423
288	10198	388
289	10231	352
290	10264	317
291	10295	282
292	10320	246
293	10355	211
294	10394	176
295	10427	140
296	10460	105
297	10495	70
298	10526	35
299	10559	0
