MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,Location,WindGustDir,WindDir9am,WindDir3pm,Year,Month,Day
19.3,34.8,0.0,56.0,15.0,7.0,52.0,20.0,1013.4,1010.6,24.3,33.6,0.0,0.2002492729538845,0.18375033629270918,0.1480993911469475,0.18771377753454646,2012.0,1.0,25.0
12.172897625418354,23.21887026855572,0.2,39.0,11.0,22.0,68.83849344822674,51.50522745519002,1020.5,1019.0,16.97736309824012,21.676257496571072,0.0,0.269347168179853,0.22768670309653916,0.2637579811492855,0.2155296582427655,2010.0,8.0,6.0
13.0,23.4,0.0,43.0,2.0,22.0,64.0,44.0,1012.5,1010.4,16.4,23.1,0.0,0.223257698541329,0.23444773592890394,0.2806583163413924,0.19809134287661895,2016.0,11.0,30.0
25.0,33.4,0.0,63.0,19.0,26.0,75.0,54.0,1004.3,1001.2,29.4,33.0,0.0,0.17131474103585656,0.28476308454629917,0.3069056520782934,0.28491372953841615,2015.0,1.0,7.0
15.3,25.8,0.0,30.0,9.0,13.0,58.0,45.0,1024.9,1021.2,21.3,24.2,0.0,0.22438644331904947,0.15203718895269347,0.159978009895547,0.17329929418831658,2012.0,11.0,12.0
4.1,12.2,9.8,33.0,7.0,15.0,89.0,84.0,1017.9,1016.7,8.8,11.1,1.0,0.1771885521885522,0.2816988416988417,0.3069056520782934,0.2543505674653216,2011.0,7.0,25.0
16.1,28.4,0.0,28.0,7.0,15.0,73.0,70.0,1016.5,1011.8,21.5,25.8,0.0,0.31626754748142033,0.22527578865879622,0.14640577296697196,0.24433688286544047,2014.0,6.0,28.0
15.8,24.3,0.0,52.0,13.0,13.0,65.0,62.0,1012.8,1010.1,20.4,24.2,0.0,0.24420529801324503,0.18375033629270918,0.159978009895547,0.1784452296819788,2009.0,1.0,16.0
11.5,21.7,0.0,43.0,28.0,24.0,73.0,52.0,1021.0,1017.0,15.8,21.0,0.0,0.14215686274509803,0.22527578865879622,0.26810114653683054,0.27853749820066215,2016.0,6.0,17.0
10.3,26.6,0.0,35.0,17.0,15.0,70.0,24.0,1016.3,1015.7,16.2,25.2,0.0,0.258408531583265,0.18375033629270918,0.1480993911469475,0.2543505674653216,2010.0,12.0,30.0
